"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3878","test_01_open_home_page[chromium]","tests","Wed Jul 30 22:47:43 GMT 2025","passed","Wed Jul 30 22:47:47 GMT 2025","TestHomePage","test_homepage","",""
"","30505","test_18_error_alert_incorrect_email_and_password[chromium]","tests","Wed Jul 30 22:50:46 GMT 2025","broken","Wed Jul 30 22:51:17 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","30504","test_20_show_button[chromium]","tests","Wed Jul 30 22:51:55 GMT 2025","broken","Wed Jul 30 22:52:26 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","30506","test_03_saving_data_after_exit[chromium]","tests","Wed Jul 30 22:48:24 GMT 2025","broken","Wed Jul 30 22:48:55 GMT 2025","TestHomePage","test_homepage","",""
"","30509","test_10_registration_new_user[chromium]","tests","Wed Jul 30 22:43:21 GMT 2025","broken","Wed Jul 30 22:43:51 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","30504","test_22_reset_password_options[chromium]","tests","Wed Jul 30 22:53:03 GMT 2025","broken","Wed Jul 30 22:53:34 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","580","test_07_hover_on_toolbar[chromium]","tests","Wed Jul 30 22:54:23 GMT 2025","passed","Wed Jul 30 22:54:23 GMT 2025","TestSearchToolbar","test_search_toolbar","",""
"","9108","test_27_saved_items_after_exit[chromium]","tests","Wed Jul 30 22:46:45 GMT 2025","passed","Wed Jul 30 22:46:54 GMT 2025","TestCart","test_cart","",""
"","30505","test_23_remember_email[chromium]","tests","Wed Jul 30 22:53:37 GMT 2025","broken","Wed Jul 30 22:54:08 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","8507","test_24_purchase_purchase_an_item_cart[chromium]","tests","Wed Jul 30 22:46:12 GMT 2025","passed","Wed Jul 30 22:46:21 GMT 2025","TestCart","test_cart","",""
"","30505","test_21_forget_Your_Password_button[chromium]","tests","Wed Jul 30 22:52:29 GMT 2025","broken","Wed Jul 30 22:53:00 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","30506","test_13_registration_numbers_in_name[chromium]","tests","Wed Jul 30 22:45:03 GMT 2025","broken","Wed Jul 30 22:45:34 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","30503","test_17_error_alert_incorrect_email[chromium]","tests","Wed Jul 30 22:50:12 GMT 2025","broken","Wed Jul 30 22:50:43 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","30508","test_15_login_to_user[chromium]","tests","Wed Jul 30 22:49:04 GMT 2025","broken","Wed Jul 30 22:49:34 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","1697","test_05_search_item_in_toolbar[chromium]","tests","Wed Jul 30 22:54:12 GMT 2025","passed","Wed Jul 30 22:54:13 GMT 2025","TestSearchToolbar","test_search_toolbar","",""
"","30508","test_02_change_language_button_in_home_page[chromium]","tests","Wed Jul 30 22:47:51 GMT 2025","broken","Wed Jul 30 22:48:21 GMT 2025","TestHomePage","test_homepage","",""
"","30507","test_14_change_language_button_in_registration[chromium]","tests","Wed Jul 30 22:45:37 GMT 2025","broken","Wed Jul 30 22:46:08 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","1720","test_08_enter_connected_characters[chromium]","tests","Wed Jul 30 22:54:27 GMT 2025","passed","Wed Jul 30 22:54:29 GMT 2025","TestSearchToolbar","test_search_toolbar","",""
"","30505","test_19_change_language_button_in_login[chromium]","tests","Wed Jul 30 22:51:20 GMT 2025","broken","Wed Jul 30 22:51:51 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","3751","test_29_add_favorite_items[chromium]","tests","Wed Jul 30 22:47:08 GMT 2025","passed","Wed Jul 30 22:47:12 GMT 2025","TestFavourites","test_favourites","",""
"","6057","test_31_moving_a_product_from_favorites_to_cart[chromium]","tests","Wed Jul 30 22:47:25 GMT 2025","passed","Wed Jul 30 22:47:31 GMT 2025","TestFavourites","test_favourites","",""
"","30506","test_12_registration_with_2_character_password[chromium]","tests","Wed Jul 30 22:44:29 GMT 2025","broken","Wed Jul 30 22:45:00 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","5890","test_30_remove_favorite_items[chromium]","tests","Wed Jul 30 22:47:16 GMT 2025","passed","Wed Jul 30 22:47:22 GMT 2025","TestFavourites","test_favourites","",""
"","1755","test_06_enter_invalid_characters[chromium]","tests","Wed Jul 30 22:54:17 GMT 2025","failed","Wed Jul 30 22:54:19 GMT 2025","TestSearchToolbar","test_search_toolbar","",""
"","30507","test_11_registration_with_invalid_email[chromium]","tests","Wed Jul 30 22:43:55 GMT 2025","broken","Wed Jul 30 22:44:25 GMT 2025","TestLoginAsNewUser","test_as_new_user","",""
"","30505","test_16_error_alert_incorrect_password[chromium]","tests","Wed Jul 30 22:49:38 GMT 2025","broken","Wed Jul 30 22:50:08 GMT 2025","TestExistingUser","test_login_as_existing_user","",""
"","8165","test_32_number_of_products_in_favorites[chromium]","tests","Wed Jul 30 22:47:35 GMT 2025","passed","Wed Jul 30 22:47:43 GMT 2025","TestFavourites","test_favourites","",""
"","5570","test_25_amount_of_items_cart_visibility[chromium]","tests","Wed Jul 30 22:46:25 GMT 2025","passed","Wed Jul 30 22:46:30 GMT 2025","TestCart","test_cart","",""
"","610","test_09_search_without_entering_text[chromium]","tests","Wed Jul 30 22:54:33 GMT 2025","passed","Wed Jul 30 22:54:33 GMT 2025","TestSearchToolbar","test_search_toolbar","",""
"","1775","test_04_clicking_on_the_main_logo_to_connect_the_home_page[chromium]","tests","Wed Jul 30 22:48:59 GMT 2025","passed","Wed Jul 30 22:49:00 GMT 2025","TestHomePage","test_homepage","",""
"","7396","test_28_adding_a_product_to_the_shopping_cart[chromium]","tests","Wed Jul 30 22:46:58 GMT 2025","passed","Wed Jul 30 22:47:05 GMT 2025","TestCart","test_cart","",""
"","6964","test_26_remove_items_in_cart[chromium]","tests","Wed Jul 30 22:46:34 GMT 2025","passed","Wed Jul 30 22:46:41 GMT 2025","TestCart","test_cart","",""
